Iteration,Hit Percentage,Head Shot Percentage,Decision
0,0.555555555555556,0.333333333333333,1
1,0.555555555555556,0.333333333333333,1
2,0.555555555555556,0.333333333333333,1
3,0.545454545454545,0.363636363636364,1
4,0.545454545454545,0.363636363636364,1
5,0.538461538461538,0.307692307692308,1
6,0.571428571428571,0.285714285714286,1
7,0.571428571428571,0.285714285714286,1
8,0.533333333333333,0.266666666666667,1
9,0.5,0.25,1
10,0.529411764705882,0.294117647058824,1
11,0.555555555555556,0.277777777777778,1
12,0.571428571428571,0.238095238095238,1
13,0.571428571428571,0.238095238095238,1
14,0.541666666666667,0.25,1
15,0.52,0.24,1
16,0.5,0.214285714285714,1
17,0.482758620689655,0.206896551724138,0
18,0.583333333333333,0.305555555555556,1
19,0.605263157894737,0.289473684210526,2
20,0.615384615384615,0.282051282051282,2
21,0.615384615384615,0.282051282051282,2
22,0.625,0.275,2
23,0.634146341463415,0.292682926829268,2
24,0.634146341463415,0.292682926829268,2
25,0.608695652173913,0.282608695652174,2
26,0.617021276595745,0.297872340425532,2
27,0.617021276595745,0.297872340425532,2
28,0.617021276595745,0.297872340425532,2
29,0.617021276595745,0.297872340425532,2
30,0.647058823529412,0.294117647058824,2
31,0.672727272727273,0.345454545454545,2
32,0.684210526315789,0.350877192982456,2
33,0.684210526315789,0.350877192982456,2
34,0.694915254237288,0.355932203389831,2
35,0.709677419354839,0.354838709677419,2
36,0.709677419354839,0.354838709677419,2
37,0.709677419354839,0.354838709677419,2

